count,outline,rain,pass,avg_fps,low1_fps,cpu_ms,gpu_ms,draw_calls,setpass_calls,batches
16,0,1,0,498.98,67.48,20.137,0.714,103.9,36.0,103.9
8,1,0,0,467.13,135.25,2.355,1.124,92.0,73.0,91.9
12,0,1,0,551.53,385.34,1.878,0.689,87.4,32.4,87.4
12,1,0,0,425.27,131.47,2.511,1.278,113.9,94.9,113.9
16,1,0,0,418.13,137.65,2.568,1.297,136.8,113.9,136.8
12,0,0,0,499.05,93.15,2.250,0.758,88.9,33.0,88.9
16,1,1,0,449.02,191.01,2.463,1.296,136.8,117.8,136.8
8,1,1,0,472.56,278.44,2.258,1.336,92.0,72.9,92.0
12,1,1,0,459.37,282.14,2.313,1.418,113.9,94.9,113.9
16,0,0,0,550.47,191.22,1.923,0.785,104.0,36.0,103.9
8,0,0,0,538.47,172.17,1.918,0.704,75.0,33.0,75.0
8,0,1,0,555.77,187.64,1.906,0.738,74.9,33.0,75.0
8,0,0,1,571.61,202.61,1.893,0.678,75.0,33.0,75.0
12,1,0,1,436.57,305.99,2.384,1.573,113.9,94.9,113.9
16,1,0,1,441.04,280.38,2.449,1.484,136.9,116.9,136.9
12,0,1,1,531.93,176.46,2.005,0.827,89.0,33.0,89.0
16,1,1,1,456.65,240.10,2.379,1.510,136.9,113.9,136.8
16,0,0,1,528.73,185.50,2.013,0.872,104.0,35.9,103.9
8,1,0,1,461.64,221.34,2.339,1.575,92.0,73.0,91.9
12,1,1,1,447.46,286.46,2.396,1.527,113.9,94.9,113.8
8,1,1,1,461.76,239.79,2.364,1.583,92.0,72.9,91.9
8,0,1,1,557.27,361.76,1.894,0.861,75.0,33.0,74.9
12,0,0,1,544.19,191.70,1.917,0.850,89.0,33.0,89.0
16,0,1,1,549.98,159.37,1.943,0.826,104.0,36.0,103.9
12,0,1,2,574.87,331.86,1.854,0.819,89.0,33.0,88.9
8,0,0,2,559.27,201.47,1.848,0.808,74.9,33.0,74.9
16,0,0,2,570.91,375.98,1.814,0.873,103.9,36.0,103.9
16,0,1,2,582.87,359.69,1.804,0.814,103.9,36.0,103.8
12,1,1,2,440.87,198.08,2.428,1.488,113.9,90.9,113.9
12,1,0,2,442.20,301.34,2.386,1.657,113.9,92.9,113.9
16,1,0,2,440.12,251.20,2.443,1.627,136.9,114.7,136.8
8,1,1,2,449.86,307.69,2.301,1.617,91.9,73.0,91.9
12,0,0,2,544.04,164.67,1.970,0.890,89.0,33.0,89.0
8,0,1,2,560.29,357.47,1.872,0.813,74.9,33.0,74.9
16,1,1,2,463.44,215.81,2.384,1.514,136.9,116.9,136.9
8,1,0,2,449.51,292.50,2.388,1.583,91.9,69.9,91.9
12,0,1,3,577.17,303.31,1.915,0.778,88.9,33.0,88.9
8,1,1,3,463.29,203.52,2.338,1.532,92.0,70.9,91.9
16,0,1,3,538.45,239.91,1.990,0.856,103.9,36.0,103.8
12,0,0,3,582.46,322.45,1.847,0.841,89.0,33.0,88.9
12,1,0,3,467.33,226.20,2.279,1.579,113.7,94.9,113.9
16,1,1,3,461.48,291.49,2.393,1.548,136.9,116.7,136.8
12,1,1,3,447.68,244.27,2.367,1.602,113.9,94.9,113.9
16,0,0,3,533.56,323.40,1.945,0.904,103.9,36.0,103.9
8,0,1,3,556.64,181.64,1.903,0.835,74.9,33.0,74.9
16,1,0,3,448.68,237.97,2.380,1.568,136.9,116.9,136.9
8,0,0,3,580.41,314.93,1.852,0.837,74.9,33.0,74.9
8,1,0,3,457.90,208.02,2.317,1.563,92.0,70.0,91.9
