count,outline,rain,pass,avg_fps,low1_fps,cpu_ms,gpu_ms,draw_calls,setpass_calls,batches
12,0,1,0,161.59,112.59,15.028,5.912,90.0,33.0,90.0
8,0,1,0,173.33,152.25,5.746,5.563,76.0,33.0,76.0
16,1,1,0,97.46,89.11,10.090,9.971,138.0,117.0,138.0
16,0,1,0,169.54,150.68,6.047,5.650,105.0,36.0,105.0
16,1,0,0,96.79,90.44,10.153,9.979,138.0,117.0,138.0
8,1,0,0,99.03,90.09,10.058,9.875,93.0,70.0,93.0
8,1,1,0,98.04,90.38,10.161,9.979,93.0,70.0,93.0
12,1,1,0,97.56,89.42,10.208,9.954,115.0,95.0,115.0
12,1,0,0,97.52,92.13,10.230,9.856,115.0,92.0,115.0
12,0,0,0,167.56,147.79,6.092,5.686,90.0,33.0,90.0
16,0,0,0,171.29,147.21,5.845,5.588,105.0,36.0,105.0
8,0,0,0,171.13,148.62,5.836,5.594,76.0,33.0,76.0
8,1,0,1,99.04,91.94,9.938,9.879,93.0,73.0,93.0
12,0,1,1,171.33,153.92,5.954,5.649,90.0,33.0,90.0
16,1,0,1,97.09,92.67,10.131,9.932,138.0,116.0,138.0
16,1,1,1,96.87,88.28,10.295,9.976,138.0,118.0,138.0
12,0,0,1,169.32,144.32,6.033,5.681,90.0,33.0,90.0
8,1,1,1,98.36,93.01,10.004,9.898,93.0,71.0,93.0
16,0,1,1,169.66,153.94,6.003,5.659,105.0,36.0,105.0
8,0,0,1,171.60,157.15,5.809,5.633,76.0,33.0,76.0
8,0,1,1,171.10,153.82,5.829,5.628,76.0,33.0,76.0
12,1,1,1,96.44,84.06,10.218,10.088,115.0,94.0,115.0
16,0,0,1,170.61,152.17,5.999,5.649,105.0,36.0,105.0
12,1,0,1,97.51,90.96,10.093,9.920,115.0,95.0,115.0
16,0,0,2,172.19,148.20,5.936,5.618,105.0,36.0,105.0
8,0,1,2,172.17,153.15,5.777,5.605,76.0,33.0,76.0
12,1,0,2,97.66,92.16,10.065,9.971,115.0,91.0,115.0
12,0,1,2,170.41,144.15,5.991,5.647,90.0,33.0,90.0
16,1,1,2,96.87,93.15,10.148,9.921,138.0,115.0,138.0
8,1,1,2,98.67,94.35,10.118,9.937,93.0,73.0,93.0
16,0,1,2,171.78,146.01,5.961,5.662,105.0,36.0,105.0
8,1,0,2,98.54,92.01,9.947,9.851,93.0,71.0,93.0
8,0,0,2,170.79,145.11,5.999,5.602,76.0,33.0,76.0
12,0,0,2,170.27,136.97,5.853,5.606,90.0,33.0,90.0
12,1,1,2,97.09,92.60,10.138,9.930,115.0,95.0,115.0
16,1,0,2,97.21,92.52,10.253,9.933,138.0,114.0,138.0
8,1,1,3,98.75,92.04,10.096,9.840,93.0,71.0,93.0
16,0,0,3,169.04,145.14,6.037,5.680,105.0,36.0,105.0
16,1,1,3,96.50,90.13,10.180,9.971,138.0,115.0,138.0
12,1,0,3,97.72,92.18,10.203,9.848,115.0,91.0,115.0
16,1,0,3,97.31,92.53,10.253,9.847,138.0,117.0,138.0
8,0,0,3,172.17,151.97,5.940,5.552,76.0,33.0,76.0
16,0,1,3,170.63,151.90,5.836,5.576,105.0,36.0,105.0
12,1,1,3,97.74,91.49,10.084,9.837,115.0,93.0,115.0
8,0,1,3,170.14,151.27,6.011,5.639,76.0,33.0,76.0
8,1,0,3,98.97,92.92,9.930,9.766,93.0,71.0,93.0
12,0,1,3,169.33,155.38,6.016,5.638,90.0,33.0,90.0
12,0,0,3,170.89,153.12,5.815,5.589,90.0,33.0,90.0
